prefix,image_filename,image_path,json_filename,json_path,mask_filename,mask_path,overlay_path,shape_count,labels,mask_pixels,mask_coverage,width,height
11500X,11500X101951.png,labelme_mask_30\images\11500X101951.png,11500X101951.json,labelme_mask_30\images\11500X101951.json,11500X101951_mask.png,labelme_mask_30\masks\11500X101951_mask.png,labelme_mask_30\overlays\11500X101951_overlay.png,2,particle,1986,0.011476,416,416
11500X,11500X114814.png,labelme_mask_30\images\11500X114814.png,11500X114814.json,labelme_mask_30\images\11500X114814.json,11500X114814_mask.png,labelme_mask_30\masks\11500X114814_mask.png,labelme_mask_30\overlays\11500X114814_overlay.png,12,particle,26297,0.151957,416,416
11500X,11500X13904.png,labelme_mask_30\images\11500X13904.png,11500X13904.json,labelme_mask_30\images\11500X13904.json,11500X13904_mask.png,labelme_mask_30\masks\11500X13904_mask.png,labelme_mask_30\overlays\11500X13904_overlay.png,1,particle,3200,0.018491,416,416
11500X,11500X140413.png,labelme_mask_30\images\11500X140413.png,11500X140413.json,labelme_mask_30\images\11500X140413.json,11500X140413_mask.png,labelme_mask_30\masks\11500X140413_mask.png,labelme_mask_30\overlays\11500X140413_overlay.png,6,particle,28608,0.165311,416,416
11500X,11500X150885.png,labelme_mask_30\images\11500X150885.png,11500X150885.json,labelme_mask_30\images\11500X150885.json,11500X150885_mask.png,labelme_mask_30\masks\11500X150885_mask.png,labelme_mask_30\overlays\11500X150885_overlay.png,6,particle,18342,0.105989,416,416
11500X,11500X17440.png,labelme_mask_30\images\11500X17440.png,11500X17440.json,labelme_mask_30\images\11500X17440.json,11500X17440_mask.png,labelme_mask_30\masks\11500X17440_mask.png,labelme_mask_30\overlays\11500X17440_overlay.png,4,particle,15690,0.090664,416,416
11500X,11500X194317.png,labelme_mask_30\images\11500X194317.png,11500X194317.json,labelme_mask_30\images\11500X194317.json,11500X194317_mask.png,labelme_mask_30\masks\11500X194317_mask.png,labelme_mask_30\overlays\11500X194317_overlay.png,4,particle,24907,0.143925,416,416
11500X,11500X200674.png,labelme_mask_30\images\11500X200674.png,11500X200674.json,labelme_mask_30\images\11500X200674.json,11500X200674_mask.png,labelme_mask_30\masks\11500X200674_mask.png,labelme_mask_30\overlays\11500X200674_overlay.png,3,particle,10922,0.063113,416,416
11500X,11500X40147.png,labelme_mask_30\images\11500X40147.png,11500X40147.json,labelme_mask_30\images\11500X40147.json,11500X40147_mask.png,labelme_mask_30\masks\11500X40147_mask.png,labelme_mask_30\overlays\11500X40147_overlay.png,3,particle,10491,0.060622,416,416
11500X,11500X62880.png,labelme_mask_30\images\11500X62880.png,11500X62880.json,labelme_mask_30\images\11500X62880.json,11500X62880_mask.png,labelme_mask_30\masks\11500X62880_mask.png,labelme_mask_30\overlays\11500X62880_overlay.png,2,particle,7120,0.041143,416,416
25000X,25000X12689.png,labelme_mask_30\images\25000X12689.png,25000X12689.json,labelme_mask_30\images\25000X12689.json,25000X12689_mask.png,labelme_mask_30\masks\25000X12689_mask.png,labelme_mask_30\overlays\25000X12689_overlay.png,1,particle,4401,0.025431,416,416
25000X,25000X15704.png,labelme_mask_30\images\25000X15704.png,25000X15704.json,labelme_mask_30\images\25000X15704.json,25000X15704_mask.png,labelme_mask_30\masks\25000X15704_mask.png,labelme_mask_30\overlays\25000X15704_overlay.png,6,particle,30794,0.177942,416,416
25000X,25000X15787.png,labelme_mask_30\images\25000X15787.png,25000X15787.json,labelme_mask_30\images\25000X15787.json,25000X15787_mask.png,labelme_mask_30\masks\25000X15787_mask.png,labelme_mask_30\overlays\25000X15787_overlay.png,6,particle,28157,0.162705,416,416
25000X,25000X24986.png,labelme_mask_30\images\25000X24986.png,25000X24986.json,labelme_mask_30\images\25000X24986.json,25000X24986_mask.png,labelme_mask_30\masks\25000X24986_mask.png,labelme_mask_30\overlays\25000X24986_overlay.png,2,particle,8524,0.049256,416,416
25000X,25000X27778.png,labelme_mask_30\images\25000X27778.png,25000X27778.json,labelme_mask_30\images\25000X27778.json,25000X27778_mask.png,labelme_mask_30\masks\25000X27778_mask.png,labelme_mask_30\overlays\25000X27778_overlay.png,3,particle,14683,0.084845,416,416
25000X,25000X36446.png,labelme_mask_30\images\25000X36446.png,25000X36446.json,labelme_mask_30\images\25000X36446.json,25000X36446_mask.png,labelme_mask_30\masks\25000X36446_mask.png,labelme_mask_30\overlays\25000X36446_overlay.png,5,particle,23172,0.133899,416,416
25000X,25000X38334.png,labelme_mask_30\images\25000X38334.png,25000X38334.json,labelme_mask_30\images\25000X38334.json,25000X38334_mask.png,labelme_mask_30\masks\25000X38334_mask.png,labelme_mask_30\overlays\25000X38334_overlay.png,7,particle,19649,0.113541,416,416
25000X,25000X4744.png,labelme_mask_30\images\25000X4744.png,25000X4744.json,labelme_mask_30\images\25000X4744.json,25000X4744_mask.png,labelme_mask_30\masks\25000X4744_mask.png,labelme_mask_30\overlays\25000X4744_overlay.png,1,particle,2450,0.014157,416,416
25000X,25000X6235.png,labelme_mask_30\images\25000X6235.png,25000X6235.json,labelme_mask_30\images\25000X6235.json,25000X6235_mask.png,labelme_mask_30\masks\25000X6235_mask.png,labelme_mask_30\overlays\25000X6235_overlay.png,3,particle,7622,0.044044,416,416
25000X,25000X65766.png,labelme_mask_30\images\25000X65766.png,25000X65766.json,labelme_mask_30\images\25000X65766.json,25000X65766_mask.png,labelme_mask_30\masks\25000X65766_mask.png,labelme_mask_30\overlays\25000X65766_overlay.png,3,particle,10886,0.062904,416,416
53000X,53000X103.png,labelme_mask_30\images\53000X103.png,53000X103.json,labelme_mask_30\images\53000X103.json,53000X103_mask.png,labelme_mask_30\masks\53000X103_mask.png,labelme_mask_30\overlays\53000X103_overlay.png,7,particle,41410,0.239287,416,416
53000X,53000X1288.png,labelme_mask_30\images\53000X1288.png,53000X1288.json,labelme_mask_30\images\53000X1288.json,53000X1288_mask.png,labelme_mask_30\masks\53000X1288_mask.png,labelme_mask_30\overlays\53000X1288_overlay.png,3,particle,13610,0.078645,416,416
53000X,53000X1392.png,labelme_mask_30\images\53000X1392.png,53000X1392.json,labelme_mask_30\images\53000X1392.json,53000X1392_mask.png,labelme_mask_30\masks\53000X1392_mask.png,labelme_mask_30\overlays\53000X1392_overlay.png,3,particle,19881,0.114882,416,416
53000X,53000X1544.png,labelme_mask_30\images\53000X1544.png,53000X1544.json,labelme_mask_30\images\53000X1544.json,53000X1544_mask.png,labelme_mask_30\masks\53000X1544_mask.png,labelme_mask_30\overlays\53000X1544_overlay.png,3,particle,13568,0.078402,416,416
53000X,53000X1698.png,labelme_mask_30\images\53000X1698.png,53000X1698.json,labelme_mask_30\images\53000X1698.json,53000X1698_mask.png,labelme_mask_30\masks\53000X1698_mask.png,labelme_mask_30\overlays\53000X1698_overlay.png,2,particle,8221,0.047505,416,416
53000X,53000X1905.png,labelme_mask_30\images\53000X1905.png,53000X1905.json,labelme_mask_30\images\53000X1905.json,53000X1905_mask.png,labelme_mask_30\masks\53000X1905_mask.png,labelme_mask_30\overlays\53000X1905_overlay.png,1,particle,6264,0.036196,416,416
53000X,53000X225.png,labelme_mask_30\images\53000X225.png,53000X225.json,labelme_mask_30\images\53000X225.json,53000X225_mask.png,labelme_mask_30\masks\53000X225_mask.png,labelme_mask_30\overlays\53000X225_overlay.png,3,particle,14461,0.083563,416,416
53000X,53000X324.png,labelme_mask_30\images\53000X324.png,53000X324.json,labelme_mask_30\images\53000X324.json,53000X324_mask.png,labelme_mask_30\masks\53000X324_mask.png,labelme_mask_30\overlays\53000X324_overlay.png,6,particle,31938,0.184553,416,416
53000X,53000X580.png,labelme_mask_30\images\53000X580.png,53000X580.json,labelme_mask_30\images\53000X580.json,53000X580_mask.png,labelme_mask_30\masks\53000X580_mask.png,labelme_mask_30\overlays\53000X580_overlay.png,4,particle,6185,0.035740,416,416
53000X,53000X638.png,labelme_mask_30\images\53000X638.png,53000X638.json,labelme_mask_30\images\53000X638.json,53000X638_mask.png,labelme_mask_30\masks\53000X638_mask.png,labelme_mask_30\overlays\53000X638_overlay.png,2,particle,3482,0.020121,416,416
