prefix,filename,source_path,labelme_path,difficulty,bbox_count,bbox_coverage_est,mean_bbox_area_px
11500X,11500X101951.png,D:\test1\25015-0042-1\samples\samples\11500X101951.png,D:\test1\25015-0042-1\labelme_mask_30\images\11500X101951.png,sparse,2,0.0338,2922.0
11500X,11500X13904.png,D:\test1\25015-0042-1\samples\samples\11500X13904.png,D:\test1\25015-0042-1\labelme_mask_30\images\11500X13904.png,sparse,1,0.0338,5846.0
11500X,11500X40147.png,D:\test1\25015-0042-1\samples\samples\11500X40147.png,D:\test1\25015-0042-1\labelme_mask_30\images\11500X40147.png,light,4,0.0868,3755.0
11500X,11500X62880.png,D:\test1\25015-0042-1\samples\samples\11500X62880.png,D:\test1\25015-0042-1\labelme_mask_30\images\11500X62880.png,light,2,0.0868,7510.0
11500X,11500X17440.png,D:\test1\25015-0042-1\samples\samples\11500X17440.png,D:\test1\25015-0042-1\labelme_mask_30\images\11500X17440.png,medium,4,0.1411,6105.2
11500X,11500X200674.png,D:\test1\25015-0042-1\samples\samples\11500X200674.png,D:\test1\25015-0042-1\labelme_mask_30\images\11500X200674.png,medium,6,0.1411,4070.7
11500X,11500X194317.png,D:\test1\25015-0042-1\samples\samples\11500X194317.png,D:\test1\25015-0042-1\labelme_mask_30\images\11500X194317.png,medium-dense,5,0.201,6958.4
11500X,11500X150885.png,D:\test1\25015-0042-1\samples\samples\11500X150885.png,D:\test1\25015-0042-1\labelme_mask_30\images\11500X150885.png,medium-dense,9,0.2011,3867.3
11500X,11500X114814.png,D:\test1\25015-0042-1\samples\samples\11500X114814.png,D:\test1\25015-0042-1\labelme_mask_30\images\11500X114814.png,dense,13,0.2927,3895.9
11500X,11500X140413.png,D:\test1\25015-0042-1\samples\samples\11500X140413.png,D:\test1\25015-0042-1\labelme_mask_30\images\11500X140413.png,dense,7,0.2927,7235.3
25000X,25000X4744.png,D:\test1\25015-0042-1\samples\samples\25000X4744.png,D:\test1\25015-0042-1\labelme_mask_30\images\25000X4744.png,sparse,2,0.0359,3110.0
25000X,25000X12689.png,D:\test1\25015-0042-1\samples\samples\25000X12689.png,D:\test1\25015-0042-1\labelme_mask_30\images\25000X12689.png,sparse,1,0.036,6225.0
25000X,25000X6235.png,D:\test1\25015-0042-1\samples\samples\25000X6235.png,D:\test1\25015-0042-1\labelme_mask_30\images\25000X6235.png,light,4,0.0905,3916.2
25000X,25000X24986.png,D:\test1\25015-0042-1\samples\samples\25000X24986.png,D:\test1\25015-0042-1\labelme_mask_30\images\25000X24986.png,light,2,0.0905,7835.0
25000X,25000X65766.png,D:\test1\25015-0042-1\samples\samples\25000X65766.png,D:\test1\25015-0042-1\labelme_mask_30\images\25000X65766.png,medium,6,0.1446,4171.3
25000X,25000X27778.png,D:\test1\25015-0042-1\samples\samples\25000X27778.png,D:\test1\25015-0042-1\labelme_mask_30\images\25000X27778.png,medium,4,0.1447,6260.2
25000X,25000X36446.png,D:\test1\25015-0042-1\samples\samples\25000X36446.png,D:\test1\25015-0042-1\labelme_mask_30\images\25000X36446.png,medium-dense,5,0.2056,7116.8
25000X,25000X38334.png,D:\test1\25015-0042-1\samples\samples\25000X38334.png,D:\test1\25015-0042-1\labelme_mask_30\images\25000X38334.png,medium-dense,8,0.2056,4448.5
25000X,25000X15787.png,D:\test1\25015-0042-1\samples\samples\25000X15787.png,D:\test1\25015-0042-1\labelme_mask_30\images\25000X15787.png,dense,12,0.3238,4670.2
25000X,25000X15704.png,D:\test1\25015-0042-1\samples\samples\25000X15704.png,D:\test1\25015-0042-1\labelme_mask_30\images\25000X15704.png,dense,8,0.3239,7007.6
53000X,53000X638.png,D:\test1\25015-0042-1\samples\samples\53000X638.png,D:\test1\25015-0042-1\labelme_mask_30\images\53000X638.png,sparse,3,0.0386,2229.0
53000X,53000X1905.png,D:\test1\25015-0042-1\samples\samples\53000X1905.png,D:\test1\25015-0042-1\labelme_mask_30\images\53000X1905.png,sparse,1,0.0387,6699.0
53000X,53000X1698.png,D:\test1\25015-0042-1\samples\samples\53000X1698.png,D:\test1\25015-0042-1\labelme_mask_30\images\53000X1698.png,light,2,0.0659,5700.0
53000X,53000X580.png,D:\test1\25015-0042-1\samples\samples\53000X580.png,D:\test1\25015-0042-1\labelme_mask_30\images\53000X580.png,light,4,0.0661,2857.8
53000X,53000X1288.png,D:\test1\25015-0042-1\samples\samples\53000X1288.png,D:\test1\25015-0042-1\labelme_mask_30\images\53000X1288.png,medium,3,0.1009,5821.3
53000X,53000X1544.png,D:\test1\25015-0042-1\samples\samples\53000X1544.png,D:\test1\25015-0042-1\labelme_mask_30\images\53000X1544.png,medium,4,0.1011,4372.2
53000X,53000X1392.png,D:\test1\25015-0042-1\samples\samples\53000X1392.png,D:\test1\25015-0042-1\labelme_mask_30\images\53000X1392.png,medium-dense,4,0.1628,7045.5
53000X,53000X225.png,D:\test1\25015-0042-1\samples\samples\53000X225.png,D:\test1\25015-0042-1\labelme_mask_30\images\53000X225.png,medium-dense,5,0.1638,5668.2
53000X,53000X324.png,D:\test1\25015-0042-1\samples\samples\53000X324.png,D:\test1\25015-0042-1\labelme_mask_30\images\53000X324.png,dense,10,0.3378,5845.2
53000X,53000X103.png,D:\test1\25015-0042-1\samples\samples\53000X103.png,D:\test1\25015-0042-1\labelme_mask_30\images\53000X103.png,dense,7,0.3455,8542.3
