prefix,image_filename,image_path,mask_filename,mask_path,shape_count,mask_coverage
11500X,11500X101951.png,labelme_mask_30\images\11500X101951.png,11500X101951_mask.png,labelme_mask_30\masks\11500X101951_mask.png,2,0.011476
11500X,11500X114814.png,labelme_mask_30\images\11500X114814.png,11500X114814_mask.png,labelme_mask_30\masks\11500X114814_mask.png,12,0.151957
11500X,11500X13904.png,labelme_mask_30\images\11500X13904.png,11500X13904_mask.png,labelme_mask_30\masks\11500X13904_mask.png,1,0.018491
11500X,11500X150885.png,labelme_mask_30\images\11500X150885.png,11500X150885_mask.png,labelme_mask_30\masks\11500X150885_mask.png,6,0.105989
11500X,11500X17440.png,labelme_mask_30\images\11500X17440.png,11500X17440_mask.png,labelme_mask_30\masks\11500X17440_mask.png,4,0.090664
11500X,11500X194317.png,labelme_mask_30\images\11500X194317.png,11500X194317_mask.png,labelme_mask_30\masks\11500X194317_mask.png,4,0.143925
11500X,11500X40147.png,labelme_mask_30\images\11500X40147.png,11500X40147_mask.png,labelme_mask_30\masks\11500X40147_mask.png,3,0.060622
11500X,11500X62880.png,labelme_mask_30\images\11500X62880.png,11500X62880_mask.png,labelme_mask_30\masks\11500X62880_mask.png,2,0.041143
25000X,25000X12689.png,labelme_mask_30\images\25000X12689.png,25000X12689_mask.png,labelme_mask_30\masks\25000X12689_mask.png,1,0.025431
25000X,25000X15704.png,labelme_mask_30\images\25000X15704.png,25000X15704_mask.png,labelme_mask_30\masks\25000X15704_mask.png,6,0.177942
25000X,25000X15787.png,labelme_mask_30\images\25000X15787.png,25000X15787_mask.png,labelme_mask_30\masks\25000X15787_mask.png,6,0.162705
25000X,25000X27778.png,labelme_mask_30\images\25000X27778.png,25000X27778_mask.png,labelme_mask_30\masks\25000X27778_mask.png,3,0.084845
25000X,25000X38334.png,labelme_mask_30\images\25000X38334.png,25000X38334_mask.png,labelme_mask_30\masks\25000X38334_mask.png,7,0.113541
25000X,25000X4744.png,labelme_mask_30\images\25000X4744.png,25000X4744_mask.png,labelme_mask_30\masks\25000X4744_mask.png,1,0.014157
25000X,25000X6235.png,labelme_mask_30\images\25000X6235.png,25000X6235_mask.png,labelme_mask_30\masks\25000X6235_mask.png,3,0.044044
25000X,25000X65766.png,labelme_mask_30\images\25000X65766.png,25000X65766_mask.png,labelme_mask_30\masks\25000X65766_mask.png,3,0.062904
53000X,53000X103.png,labelme_mask_30\images\53000X103.png,53000X103_mask.png,labelme_mask_30\masks\53000X103_mask.png,7,0.239287
53000X,53000X1288.png,labelme_mask_30\images\53000X1288.png,53000X1288_mask.png,labelme_mask_30\masks\53000X1288_mask.png,3,0.078645
53000X,53000X1392.png,labelme_mask_30\images\53000X1392.png,53000X1392_mask.png,labelme_mask_30\masks\53000X1392_mask.png,3,0.114882
53000X,53000X1544.png,labelme_mask_30\images\53000X1544.png,53000X1544_mask.png,labelme_mask_30\masks\53000X1544_mask.png,3,0.078402
53000X,53000X1698.png,labelme_mask_30\images\53000X1698.png,53000X1698_mask.png,labelme_mask_30\masks\53000X1698_mask.png,2,0.047505
53000X,53000X225.png,labelme_mask_30\images\53000X225.png,53000X225_mask.png,labelme_mask_30\masks\53000X225_mask.png,3,0.083563
53000X,53000X580.png,labelme_mask_30\images\53000X580.png,53000X580_mask.png,labelme_mask_30\masks\53000X580_mask.png,4,0.035740
53000X,53000X638.png,labelme_mask_30\images\53000X638.png,53000X638_mask.png,labelme_mask_30\masks\53000X638_mask.png,2,0.020121
